1,2,3,4,5,6,7,8,class
178.238095, 176.116233, 178.595238, 176.457078, 178.561404, 177.793919, 185.955357, 185.126232, true
108.428571, 107.130015, 172.047619, 170.168814, 168.263158, 167.523902, 145.571429, 145.018155, false
177.761905, 175.638727, 180.976190, 178.860834, 178.912281, 178.161237, 185.946429, 185.124044, true
122.690476, 121.697110, 111.928571, 110.938138, 114.359649, 113.936198, 106.625000, 106.243277, false
183.261905, 181.074653, 180.809524, 178.645858, 182.912281, 182.115155, 189.214286, 188.370666, true
147.333333, 145.574478, 144.928571, 143.198253, 168.929825, 168.187272, 158.794643, 158.093508, false
183.952381, 181.754641, 185.166667, 182.950542, 182.842105, 182.045234, 190.580357, 189.736665, true
145.071429, 143.336903, 150.047619, 148.300566, 164.149123, 163.427983, 161.785714, 161.066368, false
185.904762, 183.736971, 191.476190, 189.186542, 199.254386, 198.393777, 199.241071, 198.350788, true
101.285714, 100.102040, 87.404762, 86.368144, 133.105263, 132.521853, 128.267857, 127.694005, false
185.547619, 183.381733, 192.595238, 190.288749, 199.561404, 198.698629, 199.491071, 198.600514, true
127.428571, 125.919475, 161.047619, 159.151677, 146.166667, 145.549227, 149.348214, 148.716036, false
188.619048, 186.398024, 193.809524, 191.493619, 198.166667, 197.305560, 199.250000, 198.363067, true
157.214286, 155.365900, 167.666667, 165.702329, 164.201754, 163.483113, 165.553571, 164.813158, false
191.261905, 188.993379, 192.214286, 189.912435, 195.210526, 194.400638, 199.214286, 198.327490, true
157.523810, 155.756671, 162.571429, 160.624885, 150.587719, 149.935899, 151.000000, 150.324649, false
169.404762, 167.381144, 169.857143, 167.836473, 184.456140, 183.645347, 182.205357, 181.421647, true
152.428571, 150.642772, 145.714286, 143.972409, 140.885965, 140.271875, 141.098214, 140.490235, false
170.690476, 168.646326, 169.452381, 167.462043, 182.807018, 182.003582, 182.678571, 181.861751, true
149.690476, 147.899206, 122.119048, 120.998081, 177.307018, 176.562220, 179.508929, 178.706057, false
168.833333, 166.811639, 169.238095, 167.225651, 182.236842, 181.435811, 182.133929, 181.319008, true
109.261905, 107.971224, 84.809524, 84.011728, 155.105263, 154.438365, 130.714286, 130.209393, false
164.047619, 162.097204, 164.880952, 162.910798, 179.035088, 178.248139, 176.991071, 176.200070, true
133.571429, 132.002822, 38.928571, 38.469862, 110.201754, 109.925545, 117.955357, 117.433971, false
164.761905, 162.797873, 164.666667, 162.700036, 175.298246, 174.533581, 176.428571, 175.646898, true
177.738095, 175.997856, 137.023810, 135.411310, 139.614035, 139.003748, 146.142857, 145.505001, false
166.261905, 164.272299, 165.142857, 163.204100, 177.964912, 177.183846, 177.544643, 176.755599, true
142.404762, 140.789121, 125.500000, 124.041324, 150.263158, 149.603988, 150.928571, 150.258349, false
178.714286, 176.576581, 178.261905, 176.206281, 199.421053, 198.627793, 198.205357, 197.320051, true
130.238095, 128.686197, 110.547619, 109.360554, 136.526316, 135.927549, 130.357143, 129.791522, false
174.809524, 172.763194, 174.238095, 172.157238, 198.324561, 197.596066, 198.973214, 198.082973, true
138.214286, 136.655104, 133.857143, 132.346972, 153.903509, 153.270753, 150.633929, 150.038474, false
173.000000, 170.953210, 178.904762, 176.763139, 199.087719, 198.233988, 195.482143, 194.607643, true
99.380952, 98.192104, 95.333333, 94.254594, 135.649123, 135.053896, 143.857143, 143.345705, false
177.023810, 174.911887, 181.285714, 179.123015, 197.052632, 196.278162, 196.410714, 195.536131, true
153.119048, 151.411823, 126.571429, 125.068294, 117.500000, 116.985623, 127.633929, 127.063255, false
178.928571, 176.788119, 182.761905, 180.616810, 197.342105, 196.545514, 196.562500, 195.683967, true
98.928571, 97.758301, 156.928571, 155.316809, 161.991228, 161.339260, 156.473214, 155.787580, false
175.261905, 173.169403, 180.952381, 178.817294, 199.429825, 198.567490, 195.553571, 194.679314, true
179.023810, 176.883055, 188.000000, 185.764828, 181.192982, 180.418126, 180.357143, 179.550644, false
188.261905, 186.019269, 196.380952, 194.089411, 202.192982, 201.305227, 198.044643, 197.158730, true
189.452381, 187.184669, 137.047619, 135.406351, 184.640351, 183.865699, 186.258929, 185.445438, false
187.404762, 185.190294, 192.166667, 189.865481, 202.035088, 201.147360, 198.285714, 197.404110, true
74.738095, 73.915841, 97.333333, 96.167843, 127.991228, 127.430317, 136.428571, 135.819508, false
190.000000, 187.730810, 196.333333, 194.163039, 202.824561, 201.933399, 197.946429, 197.061885, true
